KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	KRAS_1uMGDP__G12D_GDP_D_400 - 1_X	KRAS_1uMGDP__G12D_GDP_D_400 - 1_Y
7133.46	-30.353	2183.58	-20.81
7133.93	-30.444	2184.06	-21.035
7134.42	-30.526	2184.54	-21.243
7135.06	-30.652	2185.02	-21.425
7135.54	-30.778	2185.66	-21.627
7136.02	-30.919	2186.14	-21.748
7136.49	-31.077	2186.62	-21.844
7136.98	-31.243	2187.1	-21.922
7137.62	-31.466	2187.58	-21.987
7138.1	-31.652	2188.06	-22.021
7138.57	-31.828	2188.7	-22.049
7139.06	-31.995	2189.18	-22.052
7139.69	-32.198	2189.66	-22.042
7140.18	-32.341	2190.14	-22.036
7140.66	-32.471	2190.62	-22.026
7141.13	-32.597	2191.1	-22.012
7141.62	-32.714	2191.58	-21.994
7142.1	-32.816	2192.22	-21.962
7142.74	-32.936	2192.7	-21.934
7143.21	-33.022	2193.18	-21.904
7143.69	-33.099	2193.66	-21.865
7144.18	-33.167	2194.14	-21.829
7144.66	-33.235	2194.62	-21.792
7145.3	-33.313	2195.26	-21.74
7145.77	-33.364	2195.74	-21.699
7146.26	-33.415	2196.22	-21.751
7146.74	-33.463	2196.7	-21.846
7147.23	-33.503	2197.18	-21.924
7147.85	-33.551	2197.66	-21.998
7148.33	-33.584	2198.3	-22.044
7148.82	-33.613	2198.78	-22.031
7149.3	-33.641	2199.26	-21.991
7149.77	-33.699	2199.74	-21.928
7150.41	-33.882	2200.22	-21.832
7150.9	-34.099	2200.7	-21.709
7151.38	-34.33	2201.18	-21.567
7151.86	-34.573	2201.82	-21.368
7152.33	-34.822	2202.3	-21.2
7152.82	-35.055	2202.78	-21.041
7153.46	-35.347	2203.26	-20.878
7153.94	-35.547	2203.74	-20.722
7154.41	-35.713	2204.22	-20.571
7154.9	-35.855	2204.86	-20.383
7155.38	-35.967	2205.34	-20.243
7156.02	-36.09	2205.82	-20.121
7156.5	-36.162	2206.3	-20.006
7156.97	-36.213	2206.78	-19.899
7157.46	-36.244	2207.26	-19.802
7157.94	-36.263	2207.74	-19.708
7158.58	-36.262	2208.38	-19.584
7159.05	-36.252	2208.86	-19.499
7159.54	-36.243	2209.34	-19.417
7160.02	-36.227	2209.82	-19.339
7160.5	-36.203	2210.3	-19.271
7161.14	-36.175	2210.78	-19.204
7161.61	-36.141	2211.42	-19.112
7162.1	-36.107	2211.9	-19.019
7162.58	-36.076	2212.38	-18.866
7163.06	-36.045	2212.86	-18.693
7163.53	-36.009	2213.34	-18.489
7164.17	-35.966	2213.98	-18.208
7164.66	-35.952	2214.46	-17.975
7165.14	-36.068	2214.94	-17.751
7165.61	-36.189	2215.42	-17.539
7166.1	-36.297	2215.9	-17.298
7166.74	-36.401	2216.38	-17.002
7167.22	-36.44	2217.02	-16.583
7167.71	-36.434	2217.5	-16.224
7168.17	-36.396	2217.98	-15.877
7168.66	-36.33	2218.46	-15.526
7169.14	-36.217	2218.94	-15.189
7169.78	-36.033	2219.42	-14.866
7170.25	-35.856	2220.06	-14.475
7170.73	-35.688	2220.54	-14.204
7171.22	-35.517	2221.02	-13.959
7171.7	-35.344	2221.5	-13.747
7172.34	-35.128	2221.98	-13.564
7172.81	-34.973	2222.46	-13.403
7173.3	-34.825	2223.1	-13.233
7173.78	-34.685	2223.58	-13.122
7174.27	-34.551	2224.06	-12.999
7174.73	-34.424	2224.54	-12.878
7175.38	-34.267	2225.02	-12.765
7175.86	-34.15	2225.66	-12.629
7176.34	-34.041	2226.14	-12.521
7176.81	-33.938	2226.62	-12.413
7177.3	-33.836	2227.1	-12.302
7177.94	-33.714	2227.58	-12.192
7178.42	-33.624	2228.22	-12.063
7178.9	-33.545	2228.7	-11.958
7179.37	-33.464	2229.18	-11.874
7179.86	-33.39	2229.66	-11.795
7180.5	-33.258	2230.14	-11.715
7180.98	-33.079	2230.62	-11.642
7181.45	-32.879	2231.26	-11.557
7181.94	-32.66	2231.74	-11.503
7182.42	-32.426	2232.22	-11.451
7183.06	-32.121	2232.7	-11.409
7183.54	-31.88	2233.18	-11.37
7184.01	-31.642	2233.66	-11.33
7184.5	-31.349	2234.3	-11.281
7184.98	-31.01	2234.78	-11.242
7185.45	-30.654	2235.26	-11.212
7186.09	-30.182	2235.74	-11.18
7186.58	-29.784	2236.22	-11.149
7187.06	-29.422	2236.7	-11.116
7187.54	-29.077	2237.34	-11.069
7188.18	-28.644	2237.82	-11.036
7188.65	-28.337	2238.3	-11.005
7189.14	-28.07	2238.78	-10.979
7189.62	-27.828	2239.26	-10.956
7190.11	-27.61	2239.74	-10.94
7190.57	-27.421	2240.38	-10.931
7191.21	-27.225	2240.86	-10.929
7191.7	-27.099	2241.34	-10.929
7192.18	-26.97	2241.82	-10.926
7192.65	-26.841	2242.3	-11.007
7193.14	-26.71	2242.78	-11.118
7193.78	-26.548	2243.42	-11.284
7194.26	-26.428	2243.9	-11.443
7194.75	-26.315	2244.38	-11.591
7195.21	-26.204	2244.86	-11.741
7195.7	-26.098	2245.34	-11.882
7196.34	-25.97	2245.82	-12.023
7196.82	-25.88	2246.46	-12.182
7197.29	-25.797	2246.94	-12.285
7197.78	-25.72	2247.42	-12.308
7198.26	-25.647	2247.9	-12.284
7198.9	-25.559	2248.38	-12.225
7199.38	-25.501	2248.86	-12.131
7199.85	-25.449	2249.5	-11.995
7200.34	-25.4	2249.98	-11.869
7200.82	-25.364	2250.46	-11.747
7201.31	-25.334	2250.94	-11.626
7201.93	-25.292	2251.42	-11.506
7202.42	-25.267	2252.06	-11.374
7202.9	-25.239	2252.54	-11.288
7203.38	-25.214	2253.02	-11.213
7203.85	-25.184	2253.5	-11.136
7204.34	-25.161	2253.98	-11.077
7204.98	-25.122	2254.46	-11.022
7205.46	-25.095	2255.1	-10.964
7205.95	-25.072	2255.58	-10.925
7206.41	-25.047	2256.06	-10.892
7206.9	-25.018	2256.54	-10.865
7207.38	-24.99	2257.02	-10.839
7208.02	-24.958	2257.5	-10.812
7208.49	-24.932	2257.98	-10.795
7208.98	-24.913	2258.62	-10.775
7209.46	-24.897	2259.1	-10.758
7209.94	-24.882	2259.58	-10.743
7210.58	-24.872	2260.06	-10.724
