Column B vs. Column A_X	Column B vs. Column A_Y
20.964	-3.73177
21.448	-3.46889
21.933	-3.22087
22.401	-2.98407
22.886	-2.75741
23.37	-2.52535
24.01	-2.27314
24.479	-2.10922
24.963	-1.95515
25.447	-1.79856
25.932	-1.64249
26.4	-1.4911
27.041	-1.31222
27.525	-1.18407
28.009	-1.06013
28.494	-0.932331
28.962	-0.812554
29.603	-0.685214
30.087	-0.581993
30.571	-0.476794
31.04	-0.386521
31.68	-0.286214
32.165	-0.232465
32.649	-0.183528
33.133	-0.126786
33.602	-0.0695869
34.086	-0.0116872
34.57	0.0263541
35.211	0.0766031
35.679	0.107784
36.164	0.141992
36.648	0.189137
37.132	0.232668
37.773	0.274305
38.241	0.317786
38.726	0.3444
39.21	0.376613
39.694	0.415155
40.319	0.449784
40.803	0.472786
41.287	0.496249
41.772	0.519611
42.24	0.543636
42.881	0.555785
43.365	0.553158
43.849	0.551685
44.334	0.557635
44.802	0.568314
45.286	0.578485
45.927	0.588909
46.411	0.582933
46.88	0.57359
47.364	0.560181
47.848	0.554759
48.489	0.554371
48.973	0.557407
49.442	0.561966
49.926	0.573381
50.41	0.588152
50.879	0.597703
51.519	0.617786
52.004	0.63636
52.488	0.647003
52.972	0.65412
53.441	0.655314
53.925	0.656925
54.566	0.665107
55.05	0.664808
55.534	0.658766
56.003	0.647826
56.487	0.639503
56.971	0.62836
57.612	0.626405
58.08	0.630784
58.565	0.634669
59.049	0.634427
59.533	0.634575
60.174	0.636008
60.642	0.627784
61.126	0.614783
61.611	0.606221
62.079	0.596537
62.564	0.5831
63.204	0.571137
63.688	0.567909
64.173	0.556284
64.641	0.540925
65.126	0.540989
65.61	0.542519
66.25	0.546241
66.735	0.554385
67.203	0.563185
67.687	0.569277
68.172	0.584333
68.64	0.593734
69.281	0.611784
69.765	0.618407
70.249	0.628487
70.734	0.641009
71.202	0.656703
71.843	0.666784
72.327	0.659282
72.811	0.663587
73.28	0.666957
73.764	0.663859
74.248	0.663955
74.889	0.656107
75.373	0.649133
75.842	0.646643
76.326	0.649669
76.81	0.650858
77.451	0.653735
77.919	0.667784
78.404	0.665183
78.888	0.669921
79.372	0.670865
80.013	0.674008
80.481	0.677784
80.966	0.680616
81.45	0.690521
81.934	0.6979
82.403	0.698181
83.043	0.687784
83.527	0.681957
84.012	0.680848
84.48	0.682604
84.965	0.691633
85.449	0.693015
86.089	0.682776
86.574	0.681835
87.042	0.683547
87.527	0.687065
88.011	0.682203
88.495	0.671807
89.12	0.657785
89.604	0.648785
90.088	0.652858
90.573	0.663926
91.041	0.667148
91.682	0.674784
92.166	0.689058
92.65	0.702567
93.135	0.724348
93.603	0.732604
94.088	0.735241
94.728	0.749071
95.212	0.749839
95.681	0.747815
96.165	0.750826
96.649	0.744864
97.134	0.728529
97.774	0.715005
98.243	0.705786
98.727	0.70611
99.211	0.705556
99.696	0.708347
100.164	0.725348
100.805	0.760786
101.289	0.783208
101.773	0.793247
102.242	0.810281
102.726	0.825571
103.367	0.840273
103.851	0.843033
104.335	0.829787
104.804	0.813891
105.288	0.794182
105.928	0.779025
106.413	0.77011
106.881	0.764866
107.366	0.757919
107.85	0.755024
108.334	0.75219
108.975	0.764909
109.443	0.759785
