Scrubber 2.00 Method File
10:05:57   2021/05/20

RowCount: 1

Rows:	1
Cols:	 1
Grid:
 0u

Analytes: 1
 1	-1.00	39599	1
 1

Input data:
210519 15:10 Fc=12 - 1_X	210519 15:10 Fc=12 - 1_Y	210519 15:10 Fc=16 - 1_X	210519 15:10 Fc=16 - 1_Y
83.527	8.170	83.527	6.544
83.996	8.090	83.996	6.506
84.480	8.012	84.480	6.470
84.964	7.948	84.964	6.435
85.605	7.868	85.605	6.386
86.089	7.813	86.089	6.348
86.558	7.771	86.558	6.320
87.042	7.730	87.042	6.290
87.526	7.684	87.526	6.262
88.167	7.617	88.167	6.212
88.635	7.568	88.635	6.173
89.120	7.517	89.120	6.133
89.604	7.465	89.604	6.099
90.088	7.412	90.088	6.058
90.557	7.368	90.557	6.022
91.197	7.301	91.197	5.973
91.682	7.248	91.682	5.933
92.166	7.206	92.166	5.907
92.650	7.163	92.650	5.883
93.119	7.120	93.119	5.858
93.603	7.085	93.603	5.845
94.243	7.041	94.243	5.825
94.728	7.012	94.728	5.814
95.196	6.985	95.196	5.798
95.681	6.962	95.681	5.782
96.165	6.948	96.165	5.771
96.649	6.939	96.649	5.759
97.290	6.926	97.290	5.747
97.758	6.917	97.758	5.729
98.243	6.904	98.243	5.711
98.727	6.884	98.727	5.684
99.211	6.867	99.211	5.659
99.836	6.837	99.836	5.634
100.320	6.810	100.320	5.613
100.804	6.776	100.804	5.589
101.289	6.745	101.289	5.569
101.757	6.713	101.757	5.548
102.242	6.681	102.242	5.529
102.882	6.639	102.882	5.501
103.366	6.619	103.366	5.487
103.851	6.609	103.851	5.478
104.319	6.590	104.319	5.469
104.803	6.576	104.803	5.453
105.288	6.563	105.288	5.440
105.928	6.545	105.928	5.419
106.397	6.538	106.397	5.404
106.881	6.528	106.881	5.385
107.365	6.508	107.365	5.363
107.850	6.490	107.850	5.339
108.318	6.470	108.318	5.311
108.959	6.444	108.959	5.292
109.443	6.420	109.443	5.279
109.927	6.391	109.927	5.271
110.412	6.366	110.412	5.265
110.880	6.346	110.880	5.259
111.364	6.330	111.364	5.251
112.005	6.310	112.005	5.244
112.489	6.296	112.489	5.237
112.958	6.286	112.958	5.231
113.442	6.279	113.442	5.224
113.926	6.267	113.926	5.215
114.411	6.258	114.411	5.210
115.051	6.243	115.051	5.205
115.520	6.232	115.520	5.206
116.004	6.225	116.004	5.209
116.488	6.211	116.488	5.208
116.957	6.197	116.957	5.212
117.441	6.196	117.441	5.215
117.925	6.192	117.925	5.216
118.566	6.189	118.566	5.223
119.050	6.184	119.050	5.229
119.519	6.176	119.519	5.226
120.003	6.169	120.003	5.229
120.487	6.162	120.487	5.228
121.128	6.153	121.128	5.224
121.596	6.151	121.596	5.219
122.081	6.145	122.081	5.214
122.565	6.132	122.565	5.204
123.049	6.122	123.049	5.195
123.518	6.113	123.518	5.191
124.158	6.105	124.158	5.191
124.643	6.107	124.643	5.190
125.127	6.114	125.127	5.192
125.611	6.121	125.611	5.195
126.080	6.125	126.080	5.193
126.564	6.124	126.564	5.183
127.204	6.103	127.204	5.131
127.689	6.045	127.689	4.820
128.157	5.731	128.157	4.362
128.642	5.271	128.642	4.020
129.126	4.784	129.126	-10.185
129.610	-7.356	129.610	-84.269
130.251	-84.692	130.251	-102.981
130.719	-106.435	130.719	-68.625
131.204	-100.243	131.204	-34.874
131.688	-61.313	131.688	-19.282
132.172	-31.630	132.172	-11.197
132.641	-16.195	132.641	-6.662
133.281	-7.629	133.281	-3.958
133.765	-3.248	133.765	-2.772
134.250	-2.598	134.250	-2.582
134.718	-2.612	134.718	-2.534
135.203	-2.626	135.203	-2.405
