KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	Fit on KRAS_1uMGDP_G12D_GDP_D_40_X	Fit on KRAS_1uMGDP_G12D_GDP_D_40_Y
-232.198	1.32427	1082.98	5.22208
-231.714	1.23466	1091.56	5.49637
-231.074	1.12424	1100.13	5.77025
-230.589	1.04055	1108.71	6.04373
-230.105	0.963319	1117.29	5.1196
-229.636	0.882521	1125.87	5.11777
-229.152	0.807219	1134.45	5.11594
-228.668	0.743222	1143.02	5.11412
-228.027	0.671904	1151.6	5.11229
-227.559	0.621964	1160.18	5.11047
-227.074	0.580642	1168.76	5.10864
-226.59	0.54357	1177.34	5.10682
-226.106	0.526484	1185.91	5.105
-225.465	0.604304	1194.49	5.10318
-224.997	0.720598	1203.07	5.10136
-224.513	0.876128	1211.65	5.09954
-224.028	1.05521	1220.23	5.09772
-223.544	1.25445	1228.8	5.0959
-222.919	1.50135	1237.38	5.09408
-222.435	1.68369	1245.96	5.09227
-221.951	1.84669	1254.54	5.09045
-221.466	1.98169	1263.12	5.08863
-220.998	2.06132	1271.69	5.08682
-220.357	2.02324	1280.27	5.08501
-219.873	1.8909	1288.85	5.08319
-219.389	1.72958	1297.43	5.08138
-218.905	1.53062	1306.01	5.07957
-218.436	1.30618	1314.59	5.07776
-217.952	1.08814	1323.16	5.07595
-217.311	0.791311	1331.74	5.07414
-216.827	0.58398	1340.32	5.07233
-216.358	0.409452	1348.9	5.07052
-215.874	0.254679	1357.48	5.06871
-215.39	0.125839	1366.05	5.0669
-214.749	-0.0273018	1374.63	5.0651
-214.265	-0.126261	1383.21	5.06329
-213.796	-0.205976	1391.79	5.06149
-213.312	-0.273316	1400.37	5.05968
-212.828	-0.329576	1408.94	5.05788
-212.187	-0.377727	1417.52	5.05608
-211.719	-0.405723	1426.1	5.05428
-211.234	-0.437505	1434.68	5.05248
-210.75	-0.399452	1443.26	5.05068
-210.266	-0.293368	1451.83	5.04888
-209.625	-0.156305	1460.41	5.04708
-209.157	-0.0498924	1468.99	5.04528
-208.673	0.0189161	1477.57	5.04348
-208.188	0.0521936	1486.15	5.04169
-207.704	0.0513568	1494.72	5.03989
-207.235	0.0328088	1503.3	5.03809
-206.595	-0.0413923	1511.88	5.0363
-206.111	-0.151771	1520.46	5.03451
-205.626	-0.411386	1529.04	5.03271
-205.158	-0.677857	1537.61	5.03092
-204.673	-0.949402	1546.19	5.02913
-204.033	-1.26789	1554.77	5.02734
-203.549	-1.47158	1563.35	5.02555
-203.064	-1.62274	1571.93	5.02376
-202.596	-1.73218	1580.5	5.02197
-202.112	-1.80849	1589.08	5.02018
-201.627	-1.83724	1597.66	5.0184
-200.987	-1.82141	1606.24	5.01661
-200.518	-1.75666	1614.82	5.01482
-200.034	-1.69648	1623.39	5.01304
-199.55	-1.62313	1631.97	5.01125
-199.065	-1.54507	1640.55	5.00947
-198.425	-1.45309	1649.13	5.00769
-197.956	-1.38093	1657.71	5.0059
-197.472	-1.31557	1666.28	5.00412
-196.988	-1.25417	1674.86	5.00234
-196.503	-1.18874	1683.44	5.00056
-196.035	-1.12717	1692.02	4.99878
-195.394	-1.06232	1700.6	4.997
-194.91	-1.04015	1709.17	4.99523
-194.426	-1.0855	1717.75	4.99345
-193.957	-1.15163	1726.33	4.99167
-193.473	-1.25571	1734.91	4.9899
-192.832	-1.41538	1743.49	4.98812
-192.348	-1.55965	1752.06	4.98635
-191.864	-1.70616	1760.64	4.98457
-191.395	-1.83202	1769.22	4.9828
-190.911	-2.00266	1777.8	4.98103
-190.271	-2.27155	1786.38	4.97926
-189.786	-2.41038	1794.95	4.97748
-189.318	-2.56062	1803.53	4.97571
-188.833	-2.69292	1812.11	4.97394
-188.349	-2.81186	1820.69	4.97218
-187.709	-2.95143	1829.27	4.97041
-187.224	-3.02602	1837.85	4.96864
-186.756	-3.07403	1846.42	4.96687
-186.271	-3.055	1855	4.96511
-185.787	-2.96188	1863.58	4.96334
-185.319	-2.81271	1872.16	4.96158
-184.678	-2.57788	1880.74	4.95981
-184.194	-2.33103	1889.31	4.95805
-183.71	-2.09736	1897.89	4.95629
-183.225	-1.86478	1906.47	4.95453
-182.585	-1.59523	1915.05	4.95277
-182.116	-1.40354	1923.63	4.95101
-181.632	-1.24681	1932.2	4.94925
-181.148	-1.10776	1940.78	4.94749
-180.663	-0.99886	1949.36	4.94573
-180.195	-0.915231	1957.94	4.94397
-179.554	-0.867045	1966.52	4.94221
-179.07	-0.847447	1975.09	4.94046
-178.586	-0.816135	1983.67	6.11306
-178.117	-0.789679	1992.25	6.93468
-177.633	-0.743614	2000.83	7.75313
-176.992	-0.687238	2009.41	8.56828
-176.508	-0.645513	2017.98	9.38
-176.024	-0.60278	2026.56	10.1882
-175.555	-0.554003	2035.14	10.9926
-175.071	-0.502474	2043.72	11.7932
-174.431	-0.440333	2052.3	12.5897
-173.946	-0.391738	2060.87	13.3821
-173.478	-0.347051	2069.45	14.17
-172.993	-0.30932	2078.03	14.9534
-172.509	-0.273446	2086.61	15.7319
-171.869	-0.234291	2095.19	16.5055
-171.384	-0.207351	2103.76	16.1102
-170.916	-0.186236	2112.34	16.1023
-170.431	-0.169239	2120.92	16.0944
-169.947	-0.167278	2129.5	16.0864
-169.463	-0.172733	2138.08	16.0785
-168.838	-0.17311	2146.65	16.0706
-168.354	-0.177674	2155.23	16.0626
-167.87	-0.174832	2163.81	16.0547
-167.385	-0.170569	2172.39	16.0468
-166.917	-0.153129	2180.97	16.0389
-166.432	-0.136906	2189.54	16.031
-165.792	-0.0998926	2198.12	16.0231
-165.308	-0.0739431	2206.7	16.0152
-164.823	-0.0237236	2215.28	16.0074
-164.355	0.0903697	2223.86	15.9995
-163.871	0.235922	2232.43	15.9916
-163.386	0.390424	2241.01	15.9838
-162.746	0.630577	2249.59	15.9759
-162.277	0.80193	2258.17	15.9681
-161.793	0.969087	2266.75	15.9602
-161.309	1.12711	2275.32	15.9524
-160.824	1.27664	2283.9	15.9445
-160.184	1.43997	2292.48	15.9367
-159.715	1.41781	2301.06	15.9289
-159.231	1.31284	2309.64	15.9211
-158.747	1.14835	2318.21	15.9133
-158.106	0.857476	2326.79	15.9055
-157.622	0.603099	2335.37	15.8977
-157.153	0.346319	2343.95	15.8899
-156.669	0.0798478	2352.53	15.8821
-156.185	-0.174791	2361.11	15.8743
-155.716	-0.41175	2369.68	15.8666
-155.076	-0.691692	2378.26	15.8588
-154.591	-0.813332	2386.84	15.851
-154.107	-0.860177	2395.42	15.8433
-153.623	-0.872504	2404	15.8355
-153.154	-0.83273	2412.57	15.8278
-152.67	-0.774833	2421.15	15.8201
-152.029	-0.685468	2429.73	15.8123
-151.545	-0.600754	2438.31	15.8046
-151.077	-0.513809	2446.89	15.7969
-150.592	-0.431052	2455.46	15.7892
-150.108	-0.350951	2464.04	15.7815
-149.624	-0.279539	2472.62	15.7738
-148.983	-0.202672	2481.2	15.7661
-148.515	-0.142897	2489.78	15.7584
-148.03	-0.089735	2498.35	15.7507
-147.546	-0.0431933	2506.93	15.743
-147.078	-4.15158e-3	2515.51	15.7354
-146.437	0.0384924	2524.09	15.7277
-145.953	0.0650437	2532.67	15.72
-145.469	0.089468	2541.24	15.7124
-144.984	0.115392	2549.82	15.7047
-144.516	0.14378	2558.4	15.6971
-144.031	0.157958	2566.98	15.6895
-143.391	0.179058	2575.56	15.6818
-142.907	0.191277	2584.13	15.6742
-142.422	0.20317	2592.71	15.6666
-141.954	0.211072	2601.29	15.659
-141.469	0.223266	2609.87	15.6514
-140.829	0.230913	2618.45	15.6437
-140.345	0.228791	2627.02	15.6361
-139.876	0.231616	2635.6	15.6286
-139.392	0.239991	2644.18	15.621
-138.908	0.236541	2652.76	15.6134
-138.267	0.229587	2661.34	15.6058
-137.783	0.228264	2669.91	15.5982
-137.314	0.225753	2678.49	15.5907
-136.83	0.223058	2687.07	15.5831
-136.346	0.230867	2695.65	15.5756
-135.877	0.246448	2704.23	15.568
-135.237	0.25077	2712.8	15.5605
-134.752	0.26578	2721.38	15.5529
-134.268	0.277878	2729.96	15.5454
-133.784	0.290658	2738.54	15.5379
-133.315	0.291612	2747.12	15.5304
-132.831	0.291681	2755.69	15.5229
-132.19	0.286912	2764.27	15.5154
-131.706	0.278337	2772.85	15.5079
-131.222	0.273312	2781.43	15.5004
-130.753	0.274999	2790.01	15.4929
-130.269	0.270487	2798.58	15.4854
-129.629	0.275154	2807.16	15.4779
-129.144	0.273934	2815.74	15.4704
-128.676	0.275478	2824.32	15.463
-128.191	0.280273	2832.9	15.4555
-127.551	0.295012	2841.47	15.448
-127.067	0.310091	2850.05	15.4406
-126.582	0.330221	2858.63	15.4331
-126.114	0.348067	2867.21	15.4257
-125.629	0.365153	2875.79	15.4183
-125.145	0.376729	2884.37	15.4108
-124.676	0.384849	2892.94	15.4034
-124.036	0.377679	2901.52	15.396
-123.552	0.375937	2910.1	15.3886
-123.068	0.381736	2918.68	15.3812
-122.583	0.388339	2927.26	15.3738
-122.115	0.403439	2935.83	15.3664
-121.474	0.432596	2944.41	15.359
-120.99	0.461459	2952.99	15.3516
-120.506	0.501221	2961.57	15.3442
-120.021	0.533497	2970.15	15.3368
-119.396	0.554101	2978.72	17.9094
-118.912	0.547153	2987.3	20.1864
-118.428	0.550175	2995.88	22.4075
-117.944	0.544472	3004.46	24.5633
-117.475	0.542434	3013.04	26.6425
-116.835	0.547089	3021.61	28.6312
-116.35	0.553289	3030.19	30.5126
-115.866	0.559393	3038.77	32.2671
-115.382	0.558459	3047.35	33.8719
-114.913	0.552659	3055.93	35.3029
-114.429	0.550917	3064.5	36.5371
-113.788	0.541247	3073.08	37.5583
-113.304	0.534316	3081.66	38.3626
-112.836	0.532071	3090.24	38.9629
-112.351	0.526177	3098.82	38.0374
-111.711	0.518195	3107.39	37.9583
-111.227	0.505197	3115.97	37.8802
-110.742	0.49943	3124.55	37.8032
-110.274	0.500112	3133.13	37.7272
-109.789	0.501151	3141.71	37.6521
-109.149	0.496141	3150.28	37.5779
-108.665	0.497184	3158.86	37.5047
-108.196	0.492094	3167.44	37.4323
-107.712	0.486131	3176.02	37.3607
-107.227	0.492166	3184.6	37.29
-106.743	0.493198	3193.17	37.2201
-106.103	0.490375	3201.75	37.1509
-105.634	0.491107	3210.33	37.0825
-105.15	0.50019	3218.91	37.0148
-104.666	0.509263	3227.49	36.9478
-104.181	0.517405	3236.06	36.8815
-103.713	0.530122	3244.64	36.8158
-103.072	0.534468	3253.22	36.7508
-102.588	0.536045	3261.8	36.6865
-102.104	0.540278	3270.38	36.6227
-101.635	0.54309	3278.95	36.5596
-101.151	0.549178	3287.53	36.497
-100.667	0.558228	3296.11	36.435
-100.026	0.561962	3304.69	36.3736
-99.542	0.576128	3313.27	36.3128
-99.0732	0.588879	3321.84	36.2524
-98.5889	0.599286	3330.42	36.1926
-98.105	0.615339	3339	36.1333
-97.4639	0.630238	3347.58	36.0745
-96.9961	0.639721	3356.16	36.0162
-96.5112	0.656202	3364.73	35.9583
-96.0269	0.672983	3373.31	35.9009
-95.543	0.687176	3381.89	35.844
-95.0742	0.693107	3390.47	35.7876
-94.4341	0.696774	3399.05	35.7315
-93.9492	0.695418	3407.63	35.6759
-93.4648	0.702165	3416.2	35.6208
-92.981	0.708354	3424.78	35.566
-92.5122	0.722132	3433.36	35.5116
-92.0278	0.728121	3441.94	35.4577
-91.3872	0.72476	3450.52	35.4041
-90.9028	0.719821	3459.09	35.3509
-90.4351	0.714785	3467.67	35.2981
-89.9502	0.702851	3476.25	35.2457
-89.3101	0.709475	3484.83	35.1936
-88.8262	0.710607	3493.41	35.1419
-88.3408	0.702225	3501.98	35.0905
-87.873	0.698435	3510.56	35.0395
-87.3882	0.698626	3519.14	34.9888
-86.9038	0.704216	3527.72	34.9385
-86.2642	0.718587	3536.3	34.8885
-85.7949	0.729741	3544.87	34.8388
-85.311	0.74883	3553.45	34.7894
-84.8271	0.762846	3562.03	34.7403
-84.186	0.77226	3570.61	34.6915
-83.7021	0.783899	3579.19	34.6431
-83.2329	0.790779	3587.76	34.5949
-82.749	0.795138	3596.34	34.547
-82.2651	0.798653	3604.92	34.4995
-82.2461	0.801375	3613.5	34.4522
-81.7622	0.796108	3622.08	34.4051
-81.2778	0.794332	3630.65	34.3584
-80.7939	0.799943	3639.23	34.3119
-80.1528	0.797428	3647.81	34.2657
-79.6851	0.794291	3656.39	34.2198
-79.2002	0.794895	3664.97	34.1741
-78.7158	0.795107	3673.54	34.1286
-78.2319	0.791107	3682.12	34.0835
-77.7632	0.784848	3690.7	34.0385
-77.123	0.801402	3699.28	33.9939
-76.6382	0.889163	3707.86	33.9494
-76.1538	1.02415	3716.43	33.9052
-75.686	1.17681	3725.01	33.8613
-75.2012	1.34919	3733.59	33.8175
-74.7173	1.52932	3742.17	33.774
-74.0771	1.79535	3750.75	33.7307
-73.5923	2.00084	3759.32	33.6877
-73.124	2.20236	3767.9	33.6449
-72.6392	2.4075	3776.48	33.6022
-71.999	2.65707	3785.06	33.5599
-71.5151	2.84051	3793.64	33.5177
-71.0459	3.00881	3802.21	33.4757
-70.562	3.17463	3810.79	33.4339
-70.0771	3.25	3819.37	33.3924
-69.437	3.26457	3827.95	33.351
-68.9531	3.23196	3836.53	33.3098
-68.4839	3.16016	3845.1	33.2689
-68	3.08598	3853.68	33.2281
-67.3589	2.99667	3862.26	33.1875
-66.875	2.91117	3870.84	33.1471
-66.4063	2.81672	3879.42	33.1069
-65.9219	2.73016	3887.99	33.0669
-65.438	2.63306	3896.57	33.0271
-64.7969	2.51842	3905.15	32.9874
-64.313	2.42713	3913.73	32.948
-63.8452	2.32819	3922.31	32.9087
