subtracted_X	subtracted_Y	specific_X	specific_Y	blank_X	blank_Y
2071.09	11.391	1438.11	5.767	1438.11	-3.778
2071.57	11.388	1438.76	5.762	1438.76	-3.754
2072.04	11.392	1439.24	5.753	1439.24	-3.738
2072.68	11.388	1439.71	5.744	1439.71	-3.72
2073.17	11.396	1440.19	5.731	1440.19	-3.706
2073.65	11.401	1440.68	5.722	1440.68	-3.701
2074.14	11.398	1441.16	5.717	1441.16	-3.695
2074.78	11.4	1441.8	5.715	1441.8	-3.683
2075.25	11.391	1442.27	5.709	1442.27	-3.682
2075.73	11.376	1442.75	5.716	1442.75	-3.684
2076.22	11.359	1443.24	5.724	1443.24	-3.685
2076.68	11.346	1443.72	5.733	1443.72	-3.688
2077.17	11.319	1444.36	5.753	1444.36	-3.692
2077.81	11.291	1444.83	5.774	1444.83	-3.69
2078.29	11.258	1445.32	5.797	1445.32	-3.684
2078.78	11.228	1445.8	5.824	1445.8	-3.678
2079.25	11.201	1446.27	5.842	1446.27	-3.672
2079.73	11.179	1446.75	5.842	1446.75	-3.656
2080.21	11.157	1447.39	5.846	1447.39	-3.637
2080.85	11.132	1447.88	5.853	1447.88	-3.621
2081.34	11.124	1448.36	5.847	1448.36	-3.606
2081.81	11.109	1448.83	5.843	1448.83	-3.587
2082.29	11.094	1449.31	5.842	1449.31	-3.578
2082.78	11.083	1449.96	5.839	1449.96	-3.571
2083.42	11.067	1450.44	5.844	1450.44	-3.562
2083.89	11.049	1450.91	5.848	1450.91	-3.545
2084.37	11.026	1451.39	5.852	1451.39	-3.535
2084.85	11.006	1451.88	5.853	1451.88	-3.527
2085.34	10.986	1452.36	5.854	1452.36	-3.529
2085.98	10.95	1453	5.861	1453	-3.532
2086.45	10.922	1453.47	5.861	1453.47	-3.54
2086.93	10.888	1453.95	5.87	1453.95	-3.545
2087.42	10.861	1454.44	5.878	1454.44	-3.538
2087.88	10.827	1454.92	5.89	1454.92	-3.533
2088.52	10.781	1455.56	5.897	1455.56	-3.531
2089.01	10.752	1456.03	5.899	1456.03	-3.522
2089.49	10.727	1456.52	5.902	1456.52	-3.516
2089.98	10.716	1457	5.898	1457	-3.51
2090.45	10.702	1457.47	5.906	1457.47	-3.497
2090.93	10.692	1457.95	5.916	1457.95	-3.478
2091.57	10.675	1458.59	5.917	1458.59	-3.457
2092.05	10.681	1459.08	5.911	1459.08	-3.442
2092.54	10.677	1459.56	5.908	1459.56	-3.428
2093.01	10.677	1460.03	5.905	1460.03	-3.412
2093.49	10.687	1460.52	5.889	1460.52	-3.399
2094.13	10.692	1461.16	5.868	1461.16	-3.387
2094.62	10.701	1461.64	5.859	1461.64	-3.374
2095.08	10.699	1462.11	5.851	1462.11	-3.37
