Scrubber 2.00 Method File
15:59:29   2021/04/27

RowCount: 1

Rows:	1
Cols:	 1
Grid:
 0u

Analytes: 1
 1	-1.00	Her1 8aza	1
 1

Input data:
210413 16:14 Fc=24 - 1_X	210413 16:14 Fc=24 - 1_Y
157.444	-2.044
157.929	-2.065
158.413	-2.081
158.882	-2.093
159.366	-2.102
160.006	-2.108
160.491	-2.113
160.959	-2.122
161.443	-2.120
161.928	-2.120
162.568	-2.110
163.052	-2.106
163.521	-2.104
164.005	-2.108
164.490	-2.108
164.974	-2.117
165.614	-2.129
166.083	-2.140
166.567	-2.149
167.051	-2.160
167.520	-2.164
168.004	-2.161
168.645	-2.157
169.129	-2.154
169.613	-2.146
170.082	-2.145
170.566	-2.148
171.051	-2.147
171.691	-2.145
172.160	-2.140
172.644	-2.135
173.128	-2.131
173.612	-2.126
174.253	-2.120
174.722	-2.116
175.206	-2.113
175.690	-2.115
176.174	-2.119
176.643	-2.122
177.283	-2.123
177.768	-2.122
178.252	-2.121
178.721	-2.123
179.205	-2.130
179.689	-2.136
180.330	-2.150
180.814	-2.164
181.282	-2.184
181.767	-2.206
182.251	-2.222
182.720	-2.240
183.360	-2.266
183.844	-2.284
184.329	-2.297
184.813	-2.311
185.282	-2.327
185.766	-2.335
186.406	-2.339
186.891	-2.340
187.359	-2.338
187.843	-2.336
188.328	-2.330
188.812	-2.320
189.452	-2.310
189.921	-2.309
190.405	-2.308
190.890	-2.310
191.374	-2.309
191.842	-2.302
192.483	-2.281
192.967	-2.253
193.451	-2.229
193.920	-2.205
194.404	-2.183
194.889	-2.170
195.529	-2.149
196.013	-2.135
196.482	-2.129
196.966	-2.125
197.451	-2.125
198.091	-2.140
198.560	-2.152
199.044	-2.171
199.528	-2.191
200.012	-2.209
200.481	-2.230
201.122	-2.261
201.606	-2.275
202.090	-2.289
202.574	-2.296
203.043	-2.298
203.683	-2.303
204.168	-2.298
204.652	-2.303
205.121	-2.301
205.605	-2.298
206.089	-2.298
206.573	-2.300
207.214	-2.304
207.682	-2.304
208.167	-2.309
208.651	-2.314
209.135	-2.326
209.760	-2.326
210.244	-2.317
210.729	-2.299
211.213	-2.267
211.682	-2.241
212.166	-2.231
212.806	-2.243
213.291	-2.415
213.775	-2.829
214.243	-3.274
214.728	-4.207
215.368	-12352.133
215.852	-447.045
216.321	-61.959
216.805	-7.670
217.290	-6.506
217.774	-5.328
218.414	-3.351
218.883	0.134
219.367	2.219
219.851	2.464
220.320	2.743
220.961	2.922
221.445	2.775
221.929	2.736
222.413	2.642
222.882	2.580
223.522	2.580
224.007	2.608
224.491	2.632
224.975	2.682
225.444	2.762
225.928	2.830
226.569	2.900
227.053	2.941
227.522	2.973
228.006	2.996
228.490	3.015
228.974	3.035
229.615	3.051
230.083	3.053
230.568	3.046
231.052	3.030
231.521	3.001
232.161	2.959
232.645	2.913
233.130	2.857
233.614	2.795
234.082	2.731
234.567	2.658
235.207	2.583
235.691	2.578
236.176	2.602
236.644	2.660
237.129	2.715
237.613	2.719
238.253	2.684
238.722	2.641
239.206	2.597
239.691	2.548
240.331	2.482
240.815	2.422
241.284	2.373
241.768	2.337
242.252	2.313
242.721	2.301
243.362	2.214
243.846	2.400
244.330	2.521
244.814	2.586
245.283	2.658
245.923	2.732
246.408	2.755
246.892	2.780
247.361	2.816
247.845	2.822
248.329	2.811
248.970	2.785
249.454	2.766
249.923	2.745
250.407	2.726
250.891	2.706
251.531	2.685
252.016	2.660
252.484	2.649
252.969	2.631
253.453	2.627
254.093	2.621
254.562	2.620
255.046	2.626
255.531	2.635
256.015	2.642
256.483	2.651
257.124	2.665
257.608	2.681
258.092	2.699
258.561	2.722
259.045	2.750
259.530	2.771
260.170	2.797
260.654	2.826
261.123	2.854
261.607	2.873
262.091	2.887
262.732	2.895
263.216	2.900
263.685	2.905
264.169	2.913
264.810	2.928
265.294	2.955
265.762	2.979
266.247	3.000
266.731	3.032
267.371	3.071
267.856	3.105
268.324	3.134
268.809	3.161
269.293	3.186
269.762	3.206
270.402	3.223
270.886	3.233
271.371	3.244
271.855	3.253
272.323	3.260
272.808	3.258
273.448	3.254
273.932	3.250
274.401	3.242
274.885	3.236
275.370	3.225
275.854	3.214
276.494	3.201
276.963	3.190
277.447	3.178
277.931	3.162
278.416	3.142
278.884	3.119
279.525	3.083
280.009	3.059
280.493	3.044
280.962	3.026
281.446	3.008
281.931	2.991
282.571	2.975
283.055	2.957
283.524	2.940
284.008	2.927
284.492	2.847
284.977	2.452
285.602	1.844
286.086	1.247
286.570	1.068
287.054	1.190
287.523	1.355
288.007	1.514
288.648	1.742
289.132	1.976
289.616	2.176
290.085	2.342
290.569	2.478
291.053	2.586
291.694	2.672
292.162	2.701
292.647	2.722
293.131	2.736
293.615	2.751
294.084	2.769
294.724	2.792
295.209	2.816
295.693	2.837
296.177	2.861
296.646	2.882
297.130	2.900
297.771	2.914
298.255	2.919
298.723	2.925
299.208	2.926
299.692	2.929
300.176	2.944
300.817	2.954
301.285	2.959
301.770	2.967
302.254	2.970
302.722	2.976
303.207	2.982
303.847	2.988
304.331	2.989
304.816	2.987
305.284	2.987
305.769	2.992
306.409	2.995
306.893	2.995
307.362	2.996
307.846	2.998
308.331	3.002
308.971	3.013
309.455	3.026
309.924	3.039
310.408	3.051
310.892	3.066
311.533	3.082
312.017	3.094
312.486	3.104
312.970	3.111
313.454	3.113
314.095	3.105
314.563	3.099
315.048	3.087
315.532	3.072
316.016	3.055
316.657	3.042
317.125	3.031
317.610	3.019
318.094	3.005
318.563	2.989
319.047	2.975
319.687	2.965
320.171	2.960
320.656	2.956
321.124	2.946
321.609	2.941
322.249	2.933
322.733	2.929
323.218	2.921
323.686	2.921
324.171	2.928
324.811	2.934
325.295	2.938
325.764	2.940
326.248	2.945
326.732	2.947
